Designator,Mid X,Mid Y,Layer,Rotation
U17,28.147986,43.571638,top,0
U18,51.581685,95.015538,top,0
U19,37.715,30.4015,top,0
U20,38.99,32.9765,top,0
U21,35.44,32.5015,top,-90
U22,41.39,35.8765,top,-90
U24,30.265,31.3015,top,90
U25,64.365,96.5515,top,90
U26,64.39,100.8515,top,90
Y1,7.766485,77.590538,top,0
